country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,GDP,HDI,people_fully_vaccinated
Libya,Africa,501904,6430,490973,4501,101,71240,913,2477219,351613,7045301,42817472975.37 ,0.718,#N/A
Liechtenstein,Europe,17347,84,17192,71,1,452546,2191,102174,2665501,38332,0.00 ,0.935,26464
Lithuania,Europe,1060619,9127,1032609,18883,11,399994,3442,9954903,3754317,2651588,66445256585.37 ,0.875,1880406
Luxembourg,Europe,244182,1073,235939,7170,,378610,1664,4248188,6586920,644943,85506243833.78 ,0.93,0
Macedonia,Europe,310684,9289,300761,634,,149137,4459,2034606,976666,2083215,#N/A,#N/A,#N/A
Madagascar,Africa,64236,1393,59370,3473,14,2214,48,430995,14854,29016291,14472603322.56 ,0.501,2423671
Malawi,Africa,85887,2636,82703,548,67,4284,131,578807,28868,20050211,12626717491.89 ,0.512,3714037
Malaysia,Asia,4475873,35612,4409159,31102,47,135067,1075,59274648,1788706,33138284,372980957208.02 ,0.803,27546328
Maldives,Asia,179483,298,163687,15498,25,321497,534,2213831,3965506,558272,5405576235.79 ,0.747,385135
Mali,Africa,31003,733,30088,182,,1453,34,675008,31636,21336613,19140461605.82 ,0.428,3247719
Malta,Europe,93508,713,90076,2719,4,210730,1607,1904970,4293055,443733,17364044943.82 ,0.918,471505
Marshall Islands,Australia/Oceania,17,,14,3,,284,,,,59934,259538700.00 ,0.639,#N/A
Martinique,North America,153253,926,104,152223,8,408977,2471,828928,2212109,374723,#N/A,#N/A,#N/A
Mauritania,Africa,58840,982,57708,150,,12064,201,816126,167336,4877181,9996249658.24 ,0.556,1537866
Mauritius,Africa,37843,996,36183,664,,29665,781,358675,281160,1275698,11529042672.35 ,0.802,1088142
Mayotte,Africa,37363,187,2964,34212,,131066,656,176919,620616,285070,#N/A,#N/A,#N/A
Mexico,North America,5745652,324465,5044893,376294,4798,43708,2468,15855490,120615,131455607,1272839334119.30 ,0.758,#N/A
Micronesia,Australia/Oceania,7,,1,6,,60,,,,117269,#N/A,#N/A,#N/A
Moldova,Europe,516986,11489,504142,1355,49,128715,2860,3216305,800772,4016504,13679221333.21 ,#N/A,1077327
Monaco,Europe,12004,54,11866,84,4,301911,1358,54960,1382294,39760,8596096984.03 ,..,#N/A
Mongolia,Asia,469885,2179,313256,154450,192,139159,645,4030048,1193522,3376601,15286441818.14 ,0.739,#N/A
Montenegro,Europe,236277,2719,232955,603,6,376109,4328,2465201,3924142,628214,5861268038.80 ,0.832,#N/A
Montserrat,North America,747,2,390,355,,149460,400,11238,2248499,4998,#N/A,#N/A,#N/A
Morocco,Africa,1165795,16071,1149054,670,293,30902,426,11237010,297864,37725337,142866329198.42 ,0.683,23521420
Mozambique,Africa,225493,2201,223190,102,13,6857,67,1319772,40132,32885526,15776758632.86 ,0.446,18473865
Myanmar,Asia,613140,19434,592089,1617,,11130,353,8083326,146732,55089133,65091751273.29 ,0.585,#N/A
Namibia,Africa,160074,4028,153662,2384,,60944,1534,1018783,387873,2626590,12310595843.94 ,0.615,536749
Nauru,Australia/Oceania,8,,5,3,,731,,,,10951,133218896.93 ,..,#N/A
Nepal,Asia,978998,11952,966904,142,,32511,397,5669140,188264,30112649,36288830373.41 ,0.602,24324965
Netherlands,Europe,8067116,22292,7989151,55673,55,468869,1296,21107399,1226784,17205480,1012846760976.73 ,0.941,#N/A
New Caledonia,Australia/Oceania,61049,312,60339,398,9,210072,1074,98964,340539,290610,10071351960.05 ,#N/A,184784
New Zealand,Australia/Oceania,1043683,923,989005,53755,,208649,185,7127584,1424918,5002100,249885687029.63 ,0.937,#N/A
Nicaragua,North America,18491,225,4225,14041,,2731,33,,,6771338,14013022092.06 ,0.667,6067959
Niger,Africa,9013,310,8579,124,1,349,12,253043,9794,25837472,14915001426.97 ,0.4,5454196
Nigeria,Africa,255859,3143,249943,2773,11,1186,15,5114703,23717,215651424,440833583992.49 ,0.535,69793071
Niue,Australia/Oceania,9,,9,0,,5464,,,,1647,#N/A,#N/A,1635
Norway,Europe,1429717,3061,,,20,259940,557,11002430,2000372,5500191,482174854481.96 ,0.961,#N/A
Oman,Asia,389408,4260,384592,556,2,72808,796,25000000,4674286,5348410,88191977373.21 ,0.816,#N/A
Pakistan,Asia,1529249,30376,1494141,4732,109,6681,133,28350449,123867,228878790,348262544719.18 ,0.544,155059560
Palau,Australia/Oceania,4879,6,4166,707,1,267269,329,49264,2698658,18255,217800000.00 ,0.767,#N/A
Panama,North America,806277,8203,773421,24653,16,181543,1847,6019923,1355456,4441253,63605100000.00 ,0.805,3171502
Papua New Guinea,Australia/Oceania,43876,651,43200,25,7,4737,70,249149,26898,9262605,26594305745.55 ,0.558,318967
Paraguay,South America,649718,18872,624673,6173,2,89055,2587,2633737,360998,7295705,39495431574.18 ,0.717,3544714
Peru,South America,3571919,213023,,,248,105593,6297,30226868,893567,33827210,223249497500.39 ,0.762,28595253
Philippines,Asia,3687922,60455,3624459,3008,289,32841,538,29827732,265614,112297269,394086401171.17 ,0.699,74049515
Poland,Europe,6003436,116207,5335112,552117,981,158950,3077,36224215,959088,37769420,679444832854.30 ,0.876,22645645
Portugal,Europe,4066674,22583,,,61,400999,2227,41903714,4131968,10141346,253663144586.02 ,0.866,8897476
Qatar,Asia,366179,677,364474,1028,1,130415,241,3487616,1242115,2807805,179677211793.94 ,0.855,2852000
Reunion,Africa,405980,762,395430,9788,10,447503,840,1603660,1767679,907212,#N/A,#N/A,#N/A
Romania,Europe,2903072,65612,,,138,152803,3453,22954921,1208233,18998751,284087563695.80 ,0.821,0
Russia,Europe,18260293,377670,17647179,235444,2300,125027,2586,273400000,1871949,146050996,#N/A,#N/A,79699660
Rwanda,Africa,129907,1459,45522,82926,,9587,108,5343203,394334,13549956,11070356519.48 ,0.534,#N/A
Saint Barthelemy,North America,4611,6,,,,464210,604,78646,7917648,9933,#N/A,#N/A,#N/A
Saint Helena,Africa,2,,2,0,,327,,,,6111,#N/A,#N/A,#N/A
Saint Kitts And Nevis,North America,5605,43,5547,15,,103989,798,70707,1311818,53900,#N/A,0.777,#N/A
Saint Lucia,North America,24267,368,23277,622,1,131038,1987,143281,773697,185190,#N/A,0.715,#N/A
Saint Martin,North America,10602,63,1399,9140,7,265754,1579,112382,2817015,39894,#N/A,#N/A,#N/A
Saint Pierre And Miquelon,North America,2739,1,2449,289,1,477095,174,23687,4125936,5741,#N/A,#N/A,#N/A
