country,continent,total_confirmed,total_deaths,total_recovered,active_cases,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,GDP,people_fully_vaccinated,HDI
Lesotho,Africa,3291,697,24155,858,15139,321,431221,198365,2173878,249613468,93888,0.51
Liberia,Africa,7451,294,5747,141,1411,56,139824,26487,5278999,359,1996703,0.48
Libya,Africa,5194,643,49973,451,7124,913,2477219,351613,74531,42817472975,3527093,0.72
Liechtenstein,Europe,17347,84,17192,71,452546,2191,12174,266551,38332,,26464,0.94
Lithuania,Europe,16619,9127,13269,18883,399994,3442,995493,3754317,2651588,66445256585,18846,0.88
Luxembourg,Europe,244182,173,235939,717,37861,1664,4248188,658692,644943,8556243834,1300452,0.93
Macedonia,Europe,31684,9289,3761,634,149137,4459,23466,976666,283215,,1848954,0.77
Madagascar,Africa,64236,1393,5937,3473,2214,48,43995,14854,2916291,1447263323,2423671,0.5
Malawi,Africa,85887,2636,8273,548,4284,131,57887,28868,25211,12626717492,371437,0.51
Malaysia,Asia,4475873,35612,449159,3112,13567,175,59274648,178876,33138284,373,27546328,0.8
Maldives,Asia,179483,298,163687,15498,321497,534,2213831,396556,558272,545576236,385135,0.75
Mali,Africa,313,733,388,182,1453,34,6758,31636,21336613,191446166,3247719,0.43
Malta,Europe,9358,713,976,2719,2173,167,19497,429355,443733,1736444944,47155,0.92
Marshall Islands,Australia/Oceania,17,,14,3,284,,,,59934,2595387,18,0.64
Martinique,North America,153253,926,14,152223,48977,2471,828928,221219,374723,,261839,0.849
Mauritania,Africa,5884,982,5778,15,1264,21,816126,167336,4877181,9996249658,1537866,0.56
Mauritius,Africa,37843,996,36183,664,29665,781,358675,28116,1275698,1152942672,188142,0.8
Mayotte,Africa,37363,187,2964,34212,13166,656,176919,62616,2857,,37523,0.781
Mexico,North America,5745652,324465,544893,376294,4378,2468,1585549,12615,13145567,127,208630697,0.76
Micronesia,Australia/Oceania,7,,1,6,6,,,,117269,,35,0.628
Moldova,Europe,516986,11489,54142,1355,128715,286,321635,8772,41654,13679221333,177327,0.653
Monaco,Europe,124,54,11866,84,31911,1358,5496,1382294,3976,859696984,65140,0.956
Mongolia,Asia,469885,2179,313256,15445,139159,645,4348,1193522,337661,15286441818,5492919,0.74
Montenegro,Europe,236277,2719,232955,63,37619,4328,246521,3924142,628214,586126839,674511,0.83
Montserrat,North America,747,2,39,355,14946,4,11238,2248499,4998,,4255,0.821
Morocco,Africa,1165795,1671,114954,67,392,426,112371,297864,37725337,143,2352142,0.68
Mozambique,Africa,225493,221,22319,12,6857,67,1319772,4132,32885526,15776758633,18473865,0.45
Myanmar,Asia,61314,19434,59289,1617,1113,353,883326,146732,5589133,6591751273,2937,0.59
Namibia,Africa,1674,428,153662,2384,6944,1534,118783,387873,262659,1231595844,536749,0.62
Nauru,Australia/Oceania,8,,5,3,731,,,,1951,133218896.9,22976,0.72
Nepal,Asia,978998,11952,96694,142,32511,397,566914,188264,3112649,3628883373,24324965,0.6
Netherlands,Europe,867116,22292,7989151,55673,468869,1296,2117399,1226784,172548,113,33315120,0.94
New Caledonia,Australia/Oceania,6149,312,6339,398,2172,174,98964,34539,2961,17135196,184784,
New Zealand,Australia/Oceania,143683,923,9895,53755,28649,185,7127584,1424918,521,25,11102914,0.94
Nicaragua,North America,18491,225,4225,1441,2731,33,,,6771338,14132292,667959,0.67
Niger,Africa,913,31,8579,124,349,12,25343,9794,25837472,149151427,5454196,0.4
Nigeria,Africa,255859,3143,249943,2773,1186,15,511473,23717,215651424,448,6979371,0.54
Niue,Australia/Oceania,9,,9,,5464,,,,1647,,1635,0.794
Norway,Europe,1429717,361,,,25994,557,11243,2372,55191,482,11339913,0.96
Oman,Asia,38948,426,384592,556,7288,796,25,4674286,534841,88191977373,7090453,0.82
Pakistan,Asia,1529249,3376,1494141,4732,6681,133,2835449,123867,22887879,348,1555956,0.54
Palau,Australia/Oceania,4879,6,4166,77,267269,329,49264,2698658,18255,2178,5165,0.77
Panama,North America,86277,823,773421,24653,181543,1847,619923,1355456,4441253,63651,317152,0.81
Papua New Guinea,Australia/Oceania,43876,651,432,25,4737,7,249149,26898,926265,2659435746,318967,0.56
Paraguay,South America,649718,18872,624673,6173,8955,2587,2633737,36998,729575,39495431574,3544714,0.72
Peru,South America,3571919,21323,,,15593,6297,3226868,893567,3382721,223,28595253,0.76
Philippines,Asia,3687922,6455,3624459,38,32841,538,29827732,265614,112297269,395,7449515,0.7
Poland,Europe,63436,11627,5335112,552117,15895,377,36224215,95988,3776942,679,22645645,0.88
Portugal,Europe,466674,22583,,,4999,2227,4193714,4131968,1141346,254,8897476,0.87
Qatar,Asia,366179,677,364474,128,13415,241,3487616,1242115,28785,18,2852,0.86
Reunion,Africa,4598,762,39543,9788,44753,84,16366,1767679,97212,20339,4493,0.843
Romania,Europe,29372,65612,,,15283,3453,22954921,128233,18998751,285,16827486,0.82
Russia,Europe,1826293,37767,17647179,235444,12527,2586,2734,1871949,1465996,17790,7969966,0.824
Rwanda,Africa,12997,1459,45522,82926,9587,18,534323,394334,13549956,117356519,22214312,0.53
Saint Barthelemy,North America,4611,6,,,46421,64,78646,7917648,9933,255,4630,
Saint Helena,Africa,2,,2,,327,,,,6111,39,7892,0.756
Saint Kitts And Nevis,North America,565,43,5547,15,13989,798,777,1311818,539,860.8,60467,0.78
Saint Lucia,North America,24267,368,23277,622,13138,1987,143281,773697,18519,169.1,120987,0.72
Saint Martin,North America,162,63,1399,914,265754,1579,112382,281715,39894,118.5,5,0.276
Saint Pierre And Miquelon,North America,2739,1,2449,289,47795,174,23687,4125936,5741,261.3,60467,0.788
Saint Vincent And The Grenadines,North America,6799,16,6641,52,6925,95,99138,888365,111596,90.42,31632,0.75
