country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,GDP,HDI,people_fully_vaccinated
Honduras,North America,42439,1896,132358,281136,15,41615,168,136556,133856,1197959,2848866832,0.62 ,584.631
Hungary,Europe,199948,46343,1821435,4217,29,198649,482,11394556,1185122,9614673,1.82E+05,0.85 ,
Iceland,Europe,186545,12,,,,54134,347,22644,6555338,345368,256241921,0.96 ,
India,Asia,43121599,524214,42579693,17692,698,3686,373,843836914,6479,14527333,3.18E+04,0.63 ,95196.3793
Indonesia,Asia,65776,156458,5889534,4784,2771,21694,561,97245391,348662,27891317,1.19E+04,0.71 ,
Iran,Asia,722851,141224,72835,65992,737,8452,1642,51771715,6231,8599595,,,
Iraq,Asia,2326458,25216,2299985,1257,1,5552,62,18529376,442197,4192979,2.79E+04,0.69 ,
Ireland,Europe,1535451,723,1499879,28369,28,34622,1429,12144747,249429,5459,5.42E+04,0.95 ,46.1875
Isle Of Man,Europe,28416,15,26794,1517,,33915,1223,15753,1755575,85871,,,
Israel,Asia,416793,1749,48115,14894,15,4436,1153,41373364,4436346,9326,4.89E+05,0.92 ,615.9588
Italy,Europe,1757873,165244,15894511,998118,347,28291,2741,217853667,361354,6296265,2.18E+03,0.90 ,4797.2619
Jamaica,North America,13198,2995,84883,4412,,44211,13,131235,345445,2985238,14657586937,0.71 ,75.5392
Japan,Asia,8338211,339,7951587,356585,139,6635,239,5444181,41129,125755488,4.95E+04,0.93 ,1336.5576
Jordan,Asia,1694216,1448,1678941,1227,124,16334,1352,1667254,164177,139178,45744271659,0.72 ,
Kazakhstan,Asia,135636,13661,1291669,36,24,682,712,1157512,6323,19194987,1.97E+05,0.81 ,
Kenya,Africa,32426,5649,318142,235,,5789,11,363986,64866,55976553,1.13E+04,0.58 ,119.44
Kiribati,Australia/Oceania,393,13,262,478,3,25175,16,,,122862,273125,0.62 ,
Kuwait,Asia,63274,2555,629114,45,3,1444,582,871763,183943,4388186,,0.83 ,334.5262
Kyrgyzstan,Asia,2993,2991,19646,1596,131,29889,445,197195,283613,6724638,,0.69 ,137.6654
Laos,Asia,29386,754,,,,2822,11,1232128,164896,7472169,,,
Latvia,Europe,825699,5798,816253,3648,6,446957,3139,7217715,3975,1847378,398535158,0.86 ,
Lebanon,Asia,197956,147,184853,2696,186,162215,1538,4795578,78511,6768532,2313194281,0.71 ,
